Type,id,storage--commodity,storage--can_expand,storage--can_retire,storage--constraints--MinStorageOutflowConstraint,storage--min_outflow_fraction,storage--charge_discharge_ratio,edges--inflow_edge--type,edges--inflow_edge--unidirectional,edges--inflow_edge--start_vertex,edges--inflow_edge--has_capacity,edges--inflow_edge--constraints--MustRunConstraint,edges--inflow_edge--efficiency,edges--inflow_edge--availability--timeseries--path,edges--inflow_edge--availability--timeseries--TDR_path,edges--inflow_edge--availability--timeseries--header,edges--discharge_edge--type,edges--discharge_edge--unidirectional,edges--discharge_edge--has_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--can_retire,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--constraints--RampingLimitConstraint,edges--discharge_edge--end_vertex,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--ramp_down_fraction,edges--discharge_edge--ramp_up_fraction,edges--discharge_edge--efficiency,edges--spill_edge--type,edges--spill_edge--unidirectional,edges--spill_edge--end_vertex,edges--spill_edge--can_expand,edges--spill_edge--can_retire,edges--spill_edge--has_capacity
HydroRes,Region22Chongqing_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region22Chongqing_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region22Chongqing,200,5834,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region23Sichuan_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region23Sichuan_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region23Sichuan,200,77966,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region24Guizhou_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region24Guizhou_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region24Guizhou,200,16735,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region25Yunnan_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region25Yunnan_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region25Yunnan,200,78760,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region26Tibet_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region26Tibet_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region26Tibet,200,2071,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region27Shaanxi_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region27Shaanxi_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region27Shaanxi,200,3866,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region28Gansu_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region28Gansu_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region28Gansu,200,5514,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region29Qinghai_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region29Qinghai_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region29Qinghai,200,15360,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region30Ningxia_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region30Ningxia_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region30Ningxia,200,425,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
HydroRes,Region31Xinjiang_Hydropower,HydroRes,FALSE,FALSE,FALSE,0.2,1,Electricity,TRUE,hydro_source,TRUE,TRUE,0.9,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv,Region31Xinjiang_Hydropower,Electricity,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,elec_Region31Xinjiang,200,7559,36013.88888888889,1,1,0.9,Electricity,TRUE,hydro_source,FALSE,FALSE,FALSE
