Type,id,storage--commodity,storage--wacc,storage--lifetime,storage--capital_recovery_period,storage--min_storage_level,storage--can_retire,storage--max_capacity,storage--can_expand,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageMinDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--BalanceConstraint,storage--max_duration,storage--min_duration,storage--min_capacity,storage--fixed_om_cost,storage--long_duration,storage--max_storage_level,storage--charge_discharge_ratio,storage--investment_cost,storage--loss_fraction,storage--capacity_size,storage--existing_capacity,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--discharge_edge--wacc,edges--discharge_edge--lifetime,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--can_retire,edges--discharge_edge--max_capacity,edges--discharge_edge--can_expand,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--min_capacity,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--end_vertex,edges--discharge_edge--investment_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--has_capacity,edges--discharge_edge--efficiency,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--charge_edge--unidirectional,edges--charge_edge--commodity,edges--charge_edge--can_retire,edges--charge_edge--max_capacity,edges--charge_edge--can_expand,edges--charge_edge--start_vertex,edges--charge_edge--min_capacity,edges--charge_edge--fixed_om_cost,edges--charge_edge--investment_cost,edges--charge_edge--variable_om_cost,edges--charge_edge--has_capacity,edges--charge_edge--efficiency,edges--charge_edge--capacity_size,edges--charge_edge--existing_capacity
Battery,Region23Sichuan_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,4000,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region23Sichuan,500000,0,TRUE,0.95,1,2000,TRUE,Electricity,FALSE,0,FALSE,elec_Region23Sichuan,0,0,0,0,FALSE,0.88,1,2000
Battery,Region24Guizhou_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,0,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region24Guizhou,500000,0,TRUE,0.95,1,0,TRUE,Electricity,FALSE,0,FALSE,elec_Region24Guizhou,0,0,0,0,FALSE,0.88,1,0
Battery,Region25Yunnan_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,0,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region25Yunnan,500000,0,TRUE,0.95,1,0,TRUE,Electricity,FALSE,0,FALSE,elec_Region25Yunnan,0,0,0,0,FALSE,0.88,1,0
Battery,Region26Tibet_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,1216,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region26Tibet,500000,0,TRUE,0.95,1,608,TRUE,Electricity,FALSE,0,FALSE,elec_Region26Tibet,0,0,0,0,FALSE,0.88,1,608
Battery,Region27Shaanxi_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,4000,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region27Shaanxi,500000,0,TRUE,0.95,1,2000,TRUE,Electricity,FALSE,0,FALSE,elec_Region27Shaanxi,0,0,0,0,FALSE,0.88,1,2000
Battery,Region28Gansu_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,7622,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region28Gansu,500000,0,TRUE,0.95,1,3811,TRUE,Electricity,FALSE,0,FALSE,elec_Region28Gansu,0,0,0,0,FALSE,0.88,1,3811
Battery,Region29Qinghai_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,4000,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region29Qinghai,500000,0,TRUE,0.95,1,2000,TRUE,Electricity,FALSE,0,FALSE,elec_Region29Qinghai,0,0,0,0,FALSE,0.88,1,2000
Battery,Region30Ningxia_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,10284,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region30Ningxia,500000,0,TRUE,0.95,1,5142,TRUE,Electricity,FALSE,0,FALSE,elec_Region30Ningxia,0,0,0,0,FALSE,0.88,1,5142
Battery,Region31Xinjiang_battery,Electricity,0.08,15,15,0,TRUE,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,2,0,5000,FALSE,1,1,102713.74425511651,0,1,17652,TRUE,Electricity,0.08,15,15,TRUE,-1,TRUE,TRUE,TRUE,0,10000,elec_Region31Xinjiang,500000,0,TRUE,0.95,1,8826,TRUE,Electricity,FALSE,0,FALSE,elec_Region31Xinjiang,0,0,0,0,FALSE,0.88,1,8826
Battery,Region1Beijing_pumpedhydro,Electricity,0.08,50,50,0,TRUE,3544,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,7136,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region1Beijing,720000,0,TRUE,0.88,1,892,TRUE,Electricity,FALSE,0,FALSE,elec_Region1Beijing,0,0,0,0,FALSE,0.88,1,892
Battery,Region2Tianjin_pumpedhydro,Electricity,0.08,50,50,0,TRUE,300,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,0,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region2Tianjin,720000,0,TRUE,0.88,1,0,TRUE,Electricity,FALSE,0,FALSE,elec_Region2Tianjin,0,0,0,0,FALSE,0.88,1,0
Battery,Region3Hebei_pumpedhydro,Electricity,0.08,50,50,0,TRUE,24035,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,38960,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region3Hebei,720000,0,TRUE,0.88,1,4870,TRUE,Electricity,FALSE,0,FALSE,elec_Region3Hebei,0,0,0,0,FALSE,0.88,1,4870
Battery,Region4Shanxi_pumpedhydro,Electricity,0.08,50,50,0,TRUE,6257,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,9600,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region4Shanxi,720000,0,TRUE,0.88,1,1200,TRUE,Electricity,FALSE,0,FALSE,elec_Region4Shanxi,0,0,0,0,FALSE,0.88,1,1200
Battery,Region5Innermongolia_pumpedhydro,Electricity,0.08,50,50,0,TRUE,9423,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,9600,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region5Innermongolia,720000,0,TRUE,0.88,1,1200,TRUE,Electricity,FALSE,0,FALSE,elec_Region5Innermongolia,0,0,0,0,FALSE,0.88,1,1200
Battery,Region6Liaoning_pumpedhydro,Electricity,0.08,50,50,0,TRUE,18885,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,24000,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region6Liaoning,720000,0,TRUE,0.88,1,3000,TRUE,Electricity,FALSE,0,FALSE,elec_Region6Liaoning,0,0,0,0,FALSE,0.88,1,3000
Battery,Region7Jilin_pumpedhydro,Electricity,0.08,50,50,0,TRUE,13959,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,13600,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region7Jilin,720000,0,TRUE,0.88,1,1700,TRUE,Electricity,FALSE,0,FALSE,elec_Region7Jilin,0,0,0,0,FALSE,0.88,1,1700
Battery,Region8Heilongjiang_pumpedhydro,Electricity,0.08,50,50,0,TRUE,15027,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,9600,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region8Heilongjiang,720000,0,TRUE,0.88,1,1200,TRUE,Electricity,FALSE,0,FALSE,elec_Region8Heilongjiang,0,0,0,0,FALSE,0.88,1,1200
Battery,Region9Shanghai_pumpedhydro,Electricity,0.08,50,50,0,TRUE,16000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,9600,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region9Shanghai,720000,0,TRUE,0.88,1,1200,TRUE,Electricity,FALSE,0,FALSE,elec_Region9Shanghai,0,0,0,0,FALSE,0.88,1,1200
Battery,Region10Jiangsu_pumpedhydro,Electricity,0.08,50,50,0,TRUE,14646,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,26200,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region10Jiangsu,720000,0,TRUE,0.88,1,3275,TRUE,Electricity,FALSE,0,FALSE,elec_Region10Jiangsu,0,0,0,0,FALSE,0.88,1,3275
Battery,Region11Zhejiang_pumpedhydro,Electricity,0.08,50,50,0,TRUE,41418,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,61440,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region11Zhejiang,720000,0,TRUE,0.88,1,7680,TRUE,Electricity,FALSE,0,FALSE,elec_Region11Zhejiang,0,0,0,0,FALSE,0.88,1,7680
Battery,Region12Anhui_pumpedhydro,Electricity,0.08,50,50,0,TRUE,31676,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,37440,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region12Anhui,720000,0,TRUE,0.88,1,4680,TRUE,Electricity,FALSE,0,FALSE,elec_Region12Anhui,0,0,0,0,FALSE,0.88,1,4680
Battery,Region13Fujian_pumpedhydro,Electricity,0.08,50,50,0,TRUE,14571,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,30400,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region13Fujian,720000,0,TRUE,0.88,1,3800,TRUE,Electricity,FALSE,0,FALSE,elec_Region13Fujian,0,0,0,0,FALSE,0.88,1,3800
Battery,Region14Jiangxi_pumpedhydro,Electricity,0.08,50,50,0,TRUE,11509,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,9600,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region14Jiangxi,720000,0,TRUE,0.88,1,1200,TRUE,Electricity,FALSE,0,FALSE,elec_Region14Jiangxi,0,0,0,0,FALSE,0.88,1,1200
Battery,Region15Shandong_pumpedhydro,Electricity,0.08,50,50,0,TRUE,22948,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,32000,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region15Shandong,720000,0,TRUE,0.88,1,4000,TRUE,Electricity,FALSE,0,FALSE,elec_Region15Shandong,0,0,0,0,FALSE,0.88,1,4000
Battery,Region16Henan_pumpedhydro,Electricity,0.08,50,50,0,TRUE,17304,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,22160,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region16Henan,720000,0,TRUE,0.88,1,2770,TRUE,Electricity,FALSE,0,FALSE,elec_Region16Henan,0,0,0,0,FALSE,0.88,1,2770
Battery,Region17Hubei_pumpedhydro,Electricity,0.08,50,50,0,TRUE,20806,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,9600,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region17Hubei,720000,0,TRUE,0.88,1,1200,TRUE,Electricity,FALSE,0,FALSE,elec_Region17Hubei,0,0,0,0,FALSE,0.88,1,1200
Battery,Region18Hunan_pumpedhydro,Electricity,0.08,50,50,0,TRUE,21102,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,6,0,0,FALSE,1,1,12233.48464306054,0,1,9600,TRUE,Electricity,0.08,50,50,FALSE,-1,FALSE,TRUE,TRUE,0,10800,elec_Region18Hunan,720000,0,TRUE,0.88,1,1200,TRUE,Electricity,FALSE,0,FALSE,elec_Region18Hunan,0,0,0,0,FALSE,0.88,1,1200
