Type,id,transforms--timedata,edges--edge--unidirectional,edges--edge--has_capacity,edges--edge--commodity,edges--edge--lifetime,edges--edge--capital_recovery_period,edges--edge--can_retire,edges--edge--max_capacity,edges--edge--can_expand,edges--edge--constraints--CapacityConstraint,edges--edge--min_capacity,edges--edge--investment_cost,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--wacc,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,edges--edge--availability--timeseries--header,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--TDR_path
VRE,Region17Hubei_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,206000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region17Hubei,9520,200,Region17Hubei_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region18Hunan_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,174000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region18Hunan,11210,200,Region18Hunan_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region19Guangdong_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,141000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region19Guangdong,7144,200,Region19Guangdong_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region20Guangxi_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,181000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region20Guangxi,18020,200,Region20Guangxi_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region21Hainan_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,45000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region21Hainan,413,200,Region21Hainan_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region22Chongqing_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,43000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region22Chongqing,2410,200,Region22Chongqing_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region23Sichuan_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,223000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region23Sichuan,8900,200,Region23Sichuan_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region24Guizhou_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,109000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region24Guizhou,7480,200,Region24Guizhou_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region25Yunnan_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,132000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region25Yunnan,16710,200,Region25Yunnan_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
VRE,Region26Tibet_Wind_Onshore,Electricity,TRUE,TRUE,Electricity,20,20,TRUE,524000,TRUE,TRUE,0,1666666.6666666665,20277.777777777777,0,0.08,elec_Region26Tibet,530,200,Region26Tibet_Wind_Onshore,system/vre_availability_1.csv,system/TDR_results/vre_availability_1.csv
